n,d,outlier_fraction,outlier_mag,trial,s,true_cv,true_M,cv_hat,pilot_cv,M_hat,cv_rel_error,M_rel_error
1000,3,0.02,10.0,2,30,2.441556227376376,19.145175988469532,0.4985218326436594,0.4985218326436594,2.014245208239834,0.7958180003991322,0.8947909797510901
1000,3,0.02,10.0,2,50,2.441556227376376,19.145175988469532,2.5171272287125808,2.5171272287125808,18.193542613351944,0.030951980744433377,0.0497061701438902
1000,3,0.02,10.0,2,100,2.441556227376376,19.145175988469532,2.4968189263840497,2.4968189263840497,18.768651057041108,0.02263421107735764,0.019666830519353376
1000,3,0.05,2.0,0,10,0.6787566315775071,6.9795351614658365,0.3942391546516952,0.3942391546516952,1.6222547672427658,0.419174507753333,0.7675697980290622
1000,3,0.05,2.0,0,30,0.6787566315775071,6.9795351614658365,0.9226480133727056,0.9226480133727056,5.08649775167088,0.3593208087387189,0.2712268605288296
1000,3,0.05,2.0,0,50,0.6787566315775071,6.9795351614658365,0.5277054148710633,0.5277054148710633,2.5811994569820875,0.22254105474503247,0.6301760221464396
1000,3,0.05,2.0,0,100,0.6787566315775071,6.9795351614658365,0.7504505244897383,0.7504505244897383,5.211563515247912,0.10562532957594307,0.25330793603260776
1000,3,0.05,2.0,1,10,0.6273247767797993,5.416408240314115,0.37847740814174125,0.37847740814174125,1.7240218859428285,0.39668028085140866,0.6817038506974048
1000,3,0.05,2.0,1,30,0.6273247767797993,5.416408240314115,0.6583313673591535,0.6583313673591535,3.378320757416388,0.049426695273408726,0.3762802566705223
1000,3,0.05,2.0,1,50,0.6273247767797993,5.416408240314115,0.6121749895399757,0.6121749895399757,3.135253097135725,0.02414983083816779,0.4211564272795838
1000,3,0.05,2.0,1,100,0.6273247767797993,5.416408240314115,0.6863381393732528,0.6863381393732528,4.026469290893209,0.09407146788682984,0.2566163567723062
1000,3,0.05,2.0,2,10,0.6436184853347732,6.685255422490038,0.8915367934206792,0.8915367934206792,3.3014462157571733,0.38519451155439266,0.5061600481784594
